the u s deficit increases at 3 million per second	0
the 3 6 billion deficit we inherited has turned into more than a half billion dollar surplus	1
i dont know anything about david duke	0
a hundred percent of all the jobs lost during the recession have been reclaimed in texas while the nation is at about 36 percent	1
gm has repaid our government loan in full with interest five years ahead of the original schedule	1
an effort to repeal voting reform legislation would be the first time in ohio history where a bill has been passed to stop a referendum	1
says julie parrish voted to divert 160 million from public schools to private for profit schools	0
says the treasury department says 41 percent of all business income reported on individual returns would be hit by the millionaires surtax that would harm small businessmen and women the very people we are counting on to create new jobs	0
a year since the recovery summer there has been been a fall winter and spring of no recovery	0
we re also cutting a forest service economic development program that strayed so far from any mission that it funded a music festival	0
john mccain fought to rein in fannie and freddie but democrats blocked the reforms	1
fcat tests account for less than 1 percent of the instructional time provided during the year	0
marco rubio wants to raise the social security retirement age and cut benefits	1
regarding sexual assault against women its actually safer not to be in college than it is to be in college	0
four years as a congressman he u s rep hank johnson never talked about marta	0
there has not been a democratic woman in congress from new jersey in almost four decades	1
a college loan is the only loan in the united states that you cannot refinance when interest rates go down	1
says new jerseys 1 billion horse racing industry employs 13 000 individuals and ensures the preservation of 176 000 acres of horse farmland	1
the seed of muslim is passed through the father	0
says donald trump said at the republican convention i alone can fix it	1
says president obama is reducing our naval fleet to 1917 levels	0
redskins is used historically as a term of respect	0
i was the most bipartisan senator in the united states senate	1
says sen rob portman said it would be irresponsible not to cut medicare	1
theres a tremendous other number of public officials who have done the same thing as hillary clinton with a private email server	0
100 000 in stimulus funds were used for a martini bar and brazilian steakhouse	1
but if my opponent had his way the millions of floridians who rely on it would ve had their social security tied up in the stock market this week	0
marijuana is less addictive than both alcohol and tobacco	1
says in the legislature mary nolan has been a party line democrat showing a 100 track record in harmony with the american civil liberties union	1
under the cash for clunkers program all we ve got to do is go to a local junkyard all you ve got to do is tow it to your house and you re going to get 4 500	0
the red sox waited 87 long years to win the world series	0
says president barack obama carried congressional district 13 by 8 2 points in 2008 and 5 6 points in 2012	0
he has ushered in 3 billion in new investment	0
says mitt romney and paul ryan want to turn medicare into a voucher system	1
georgia is now the eighth most populous state in the nation moving from the number 10 position in just four years	1
women account for 92 3 percent of the jobs lost under obama	0
says an investigative report concluded ken cuccinelli should have been prosecuted for disclosure violations but virginias law was too weak	0
tuition free public universities and colleges are just a pipe dream false they were both free up until the vietnam war	0
says we brought crime rate down by 30 percent when he was mayor of dallas	1
says he took down the mob in northeast ohio	0
obama skips out on condemning left wing attacks on gen petraeus despite casting other important votes earlier and later in the day	1
joe straus is the first jewish speaker of the texas house	1
u s rep phil gingrey gave the government the power to electronically spy on americans without a warrant	0
three years ago a newly elected president obama told america that if congress approved his plan to borrow nearly a trillion dollars he would hold unemployment below 8 percent	0
says canada has one tenth of our populationyet it issues far more high skilled visas more than 150 000 yearly than we do 65 000	1
it is just a fact that hamas apparently the north american spokesperson is endorsing senator obama	1
we have more scientists and engineers per square mile than anywhere in the world	1
if the sellwood bridge is not replaced it will have to be shut down within eight years	0
says a gun bill before the senate is proposing the universal registration of all firearms and their owners	0
says 13 texas universities have announced or implemented a 10 000 degree	0
seven of americas 10 wealthiest counties are in the washington d c area	1
there are more atheists in the country right now than jews muslims hindus and buddhists combined and doubled	0
chris sununu supported obamas common core agenda taking away local control of our schools	0
report 3 million votes in presidential election cast by illegal aliens	0
the federal health care law tells the american people precisely what type of coverage they have to have	1
says donald trump and mike pence want to gamble with your retirement benefits in the stock market	0
says ted cruz wanted to let in more syrian refugees and give amnesty to illegal immigrants	1
by the time you drink your coffee an elephant is killed for its ivory tusks	1
says 315 000 mostly minority texas students are enrolled in failing schools	1
says bill white is refusing to debate	0
says rick scott gave a deposition in which he invoked the fifth amendment 75 times about his dealings as head of columbia hca hospital chain	1
russ feingold voted against the law that protected our lakes and was the only great lakes senator to vote no	0
the job of correctional officer lowers your life expectancy metropolitan did a study in i believe it was 1998 and the life expectancy was 58	0
what president has the worst record on female labor force participation barack obama	0
obama has no experience or background at all in national security affairs	0
under the federal controlled substance act marijuana is listed in the same schedule i as heroin even though marijuana is not a killer drug like heroin	1
you worked hard for your money and you paid your taxes when you earned it now indiana republican congressional candidate todd young wants to tax it again when you spend it	1
the charleston s c shootershould have never been given a gun but the universal background check was not fast enough	1
says scott walker enacted the biggest cuts to education in our states history	1
the earth is not warming	0
says in the last five years senate republicans have placed a filibuster on every piece of legislation and every nominee	0
ive either balanced every budget or we turned back a surplus	0
we have cut our deficits by almost three quarters	1
while in the illinois senate barack obama passed legislation moving people from welfare to jobs	1
barack obama had 150 days in the u s senate where he was able to vote quite often present	0
says mike enzi is getting about 84 percent of his campaign funds from washington based pacs thats more than any senator of either party	1
the democrats in the senate and some members of congress defended what fannie and freddie were doing they resisted any change	1
barack obama is in an economy thats only worsened since hes been president of the united states	1
house republicans are ramming through legislation to classify pizza as a vegetable for the purpose of school lunches	1
sherrod brown was just voted two years in a row the most liberal senator in the united states of america and is more liberal than sen bernie sanders	1
obama voted to support president bush between 40 and 50 percent of the time over the past two years	1
its legal to sign a recall petition against gov scott walker even if you have already signed another recall petition but only one signature counts	1
welfare programs caused more long term damage to detroit than the atomic bomb caused to hiroshima	0
the reason 29 states no longer have a death tax is that the tax damaged their economic competitiveness	0
we ve got some 37 million of our fellow citizens who are living in poverty about 12 million or 13 million are children	1
on the last night of the general assembly by 11 oclock 95 to 98 percent of the business was done so we really didnt have that late night session we were just holding on one bill	0
president obamas lawsuit claims it is unconstitutional for ohio to allow servicemen and women extended early voting privileges during the states early voting period	0
judge sotomayor has said that policy is made on the u s court of appeals	1
the turnout on may 14th was just 7 percent the lowest turnout in decades	1
sharron angle would eliminate the department of education	1
six people in florida die as a result of not expanding medicaid every day	1
says he balanced the budget without raising taxes	0
president barack obama reduced the cost of prescription drugs for nearly 3 6 million americans in 2011	1
obama has chosen to deny the vicious anti semitic motivation of the attack on a kosher jewish grocery in paris	0
we are only inches away from ceasing to be a free market economy	0
says state sens greg evers nancy detert and charles dean got a failing grade from conservatives	0
the profit from automated traffic enforcement cameras is going to the private corporations not to the city or state	0
says texas ranks first among the states in the amount of carbon dioxide emitted and toxic chemicals released into water	1
they delayed my swearing in here in massachusetts for a couple weeks so they could ram the health care law through	0
obama voted to cut off funding for our american troops on the battlefield	0
says wisconsin gov scott walker doesnt make his calendar public hes on our dime and we dont know where he is	1
just 9 percent of muslims in pakistan viewisis favorably unfortunately that 9 percent is 16 million people and thats just one country	1
i have never voted for a tax increase	0
the ohio democratic party has raised 1 1 million since the november election a very small percentage of that has come from organized labor	1
barack obama refuses to acknowledge jerusalem as the capital of israel	1
say water fluoridation started in nazi germany ghettos and death camps to pacify the jews	0
president barack obama suggested on national tv that the democratic health care bill will have government decide that a healthy 100 year old woman in need of a pacemaker should take a pain pill instead	0
the fbi has reopened its investigation into hillary clinton and discovered another 650 000 emails	1
we had a bill in florida where we now are prohibiting doctors to talk particularly pediatricians to talk to their patients about gun safety in the home	0
says justice elena kagan recused herself in many cases where she had little role as solicitor general simply because of the appearance of a conflict of interest	1
on auditing the federal reserve	1
